config,period,name,lookback,volume_z,hold,stop_atr,target_r,base_trades,base_avg_bps,base_pf,base_win_rate,base_total_bps,base_symbols,base_breadth,stress_trades,stress_avg_bps,stress_pf,stress_win_rate,stress_total_bps,stress_symbols,stress_breadth
BRK_L16_V0_H8_S1.5_T0,2024,BRK_L16_V0_H8_S1.5_T0,16,0.0,8,1.5,,16582,-17.400659200315946,0.7624435645930321,0.3574357737305512,-288537.730859639,30,0.03333333333333333,16582,-25.400659200315946,0.6762974141059801,0.3394041731998553,-421193.730859639,30,0.0
BRK_L16_V0_H8_S1.5_T0,2025H1,BRK_L16_V0_H8_S1.5_T0,16,0.0,8,1.5,,8392,-14.715125190010793,0.7898305236150669,0.3744041944709247,-123489.33059457058,30,0.06666666666666667,8392,-22.715125190010795,0.6975081413944829,0.3547426120114395,-190625.33059457058,30,0.0
BRK_L16_V0_H8_S1.5_T0,2025H2,BRK_L16_V0_H8_S1.5_T0,16,0.0,8,1.5,,8751,-12.951645539040333,0.7848726101689224,0.36464404068106504,-113339.85011214195,30,0.0,8751,-20.951645539040335,0.6795102781864125,0.34110387384298935,-183347.85011214198,30,0.0
BRK_L16_V0_H8_S1.5_T0,2026H1,BRK_L16_V0_H8_S1.5_T0,16,0.0,8,1.5,,8439,-22.159778304687478,0.6274258746339013,0.35430738239127857,-187006.36911325762,30,0.0,8439,-30.159778304687478,0.5341706787584041,0.32989690721649484,-254518.36911325762,30,0.0
BRK_L16_V0_H8_S1.5_T0,JULY2026,BRK_L16_V0_H8_S1.5_T0,16,0.0,8,1.5,,1070,-29.71929236792653,0.4256606612943382,0.2757009345794392,-31799.642833681388,29,0.034482758620689655,1070,-37.719292367926535,0.34583366311119385,0.24299065420560748,-40359.64283368139,29,0.0
BRK_L16_V0_H8_S1.5_T3,2024,BRK_L16_V0_H8_S1.5_T3,16,0.0,8,1.5,3.0,16803,-16.362109027473675,0.7781333094961261,0.35969767303457717,-274932.5179886402,30,0.03333333333333333,16803,-24.362109027473675,0.6914126564706561,0.3421412842944712,-409356.5179886402,30,0.0
BRK_L16_V0_H8_S1.5_T3,2025H1,BRK_L16_V0_H8_S1.5_T3,16,0.0,8,1.5,3.0,8480,-13.59923537215221,0.8058562834762231,0.3765330188679245,-115321.51595585074,30,0.06666666666666667,8480,-21.59923537215221,0.7124216387271266,0.3569575471698113,-183161.51595585074,30,0.03333333333333333
BRK_L16_V0_H8_S1.5_T3,2025H2,BRK_L16_V0_H8_S1.5_T3,16,0.0,8,1.5,3.0,8870,-15.673758311723931,0.7481395912278831,0.36798196166854563,-139026.23622499127,30,0.0,8870,-23.67375831172393,0.6486161284314186,0.3448703494926719,-209986.23622499127,30,0.0
BRK_L16_V0_H8_S1.5_T3,2026H1,BRK_L16_V0_H8_S1.5_T3,16,0.0,8,1.5,3.0,8518,-19.977334168354894,0.6643950533679005,0.35653909368396336,-170166.932446047,30,0.0,8518,-27.977334168354894,0.5680822745435821,0.3322376144634891,-238310.932446047,30,0.0
BRK_L16_V0_H8_S1.5_T3,JULY2026,BRK_L16_V0_H8_S1.5_T3,16,0.0,8,1.5,3.0,1078,-27.928047655708998,0.4584740064625014,0.28014842300556586,-30106.4353728543,29,0.034482758620689655,1078,-35.928047655708994,0.37464932292063763,0.24768089053803338,-38730.4353728543,29,0.034482758620689655
